block,a,rusty,bicycle,in,front,of,a,barn
0,0.273392,0.284302,0.188866,0.119987,0.106731,0.095913,0.077583,0.147873
1,0.288361,0.215454,0.365051,0.194305,0.152550,0.150650,0.153679,0.283302
2,0.739288,0.589386,1.195621,0.365173,0.253582,0.272099,0.147133,0.537045
3,2.595093,0.566208,0.972641,0.280052,0.155098,0.163471,0.061642,0.800587
4,1.689331,0.243111,1.348526,0.438889,0.240868,0.275963,0.105148,0.989227
5,1.213531,0.443176,1.398834,0.365646,0.241943,0.275131,0.094810,1.825653
6,1.071564,0.498444,1.304901,0.324692,0.248917,0.296600,0.097664,1.776855
7,0.733246,0.577042,1.287354,0.495956,0.236084,0.320602,0.036341,2.299377
8,1.466675,0.292130,1.047821,0.481628,0.201599,0.370346,0.046453,1.184509
9,2.307617,0.310760,1.253418,0.437042,0.225693,0.227028,0.026485,2.182983
10,1.919373,0.156174,0.656799,0.266068,0.212975,0.211517,0.032787,0.975113
11,1.229584,0.082901,0.570877,0.183201,0.211325,0.283445,0.024200,0.566025
12,0.609711,0.184273,0.481560,0.133244,0.167709,0.200970,0.041527,0.643814
13,0.451477,0.329109,0.789116,0.141136,0.128971,0.201565,0.040649,0.587006
14,0.318344,0.365738,0.246994,0.088856,0.160591,0.104679,0.048475,0.573761
15,0.748779,0.119328,0.259369,0.050434,0.160175,0.085005,0.041733,0.305847
16,0.833954,0.120251,0.169994,0.032780,0.123226,0.069925,0.026227,0.190052
17,0.674377,0.098206,0.128860,0.030527,0.159618,0.077972,0.030791,0.239021
18,0.675598,0.154518,0.116198,0.066158,0.235844,0.096611,0.049601,0.269951
19,0.434036,0.154793,0.108042,0.059052,0.218058,0.099575,0.046223,0.341591
20,0.233772,0.226456,0.079784,0.079929,0.299419,0.127758,0.081482,0.330246
21,0.566177,0.188492,0.077137,0.066391,0.218319,0.100189,0.057390,0.322258
22,1.506836,0.219215,0.107265,0.065783,0.110386,0.113930,0.051151,0.153816
23,2.840210,0.221462,0.105860,0.069916,0.071465,0.097176,0.061825,0.108109
