block,a,rusty,bicycle,in,front,of,a,barn
0,0.005584,0.005793,0.003857,0.002450,0.002180,0.001960,0.001586,0.003022
1,0.005877,0.004392,0.007421,0.003958,0.003112,0.003073,0.003137,0.005755
2,0.015114,0.012051,0.024260,0.007417,0.005171,0.005542,0.002999,0.010927
3,0.052786,0.011568,0.019767,0.005726,0.003173,0.003352,0.001271,0.016308
4,0.034531,0.004969,0.027399,0.008932,0.004944,0.005639,0.002156,0.020027
5,0.024882,0.009059,0.028510,0.007465,0.004988,0.005618,0.001946,0.037120
6,0.021958,0.010193,0.026614,0.006620,0.005128,0.006067,0.002008,0.036189
7,0.015055,0.011735,0.026355,0.010091,0.004819,0.006541,0.000750,0.046702
8,0.029949,0.005945,0.021393,0.009825,0.004181,0.007585,0.000959,0.024379
9,0.047026,0.006360,0.025786,0.008904,0.004621,0.004620,0.000545,0.044709
10,0.039050,0.003205,0.013506,0.005425,0.004404,0.004296,0.000674,0.020174
11,0.024979,0.001697,0.011671,0.003744,0.004347,0.005760,0.000500,0.011668
12,0.012441,0.003790,0.009856,0.002729,0.003483,0.004108,0.000867,0.013354
13,0.009233,0.006737,0.016124,0.002875,0.002653,0.004089,0.000839,0.012026
14,0.006491,0.007458,0.005105,0.001822,0.003317,0.002131,0.000989,0.011816
15,0.015255,0.002445,0.005406,0.001034,0.003265,0.001719,0.000855,0.006327
16,0.017017,0.002489,0.003573,0.000677,0.002528,0.001417,0.000538,0.003944
17,0.013713,0.002023,0.002716,0.000632,0.003285,0.001579,0.000631,0.005009
18,0.013751,0.003152,0.002460,0.001366,0.004835,0.001968,0.001018,0.005551
19,0.008823,0.003172,0.002269,0.001220,0.004487,0.002031,0.000950,0.007063
20,0.004749,0.004627,0.001683,0.001644,0.006140,0.002596,0.001655,0.006830
21,0.011458,0.003882,0.001628,0.001371,0.004477,0.002035,0.001180,0.006708
22,0.030618,0.004542,0.002258,0.001345,0.002275,0.002311,0.001055,0.003219
23,0.057383,0.004583,0.002228,0.001425,0.001481,0.001970,0.001271,0.002272
