block,A,rusty,bicycle,in,front,of,a,barn
0,0.177185,0.889084,0.146484,0.143501,0.141335,0.128052,0.378128,0.178162
1,0.285919,0.730927,0.590393,0.216408,0.263092,0.193733,0.408516,0.454651
2,0.539650,1.369255,1.421959,0.419060,0.597210,0.374832,0.573380,0.970127
3,0.287170,0.733253,1.022018,0.202774,0.364815,0.182644,0.340965,0.795158
4,0.436722,0.788460,1.431549,0.381828,0.463493,0.216316,0.618195,0.841263
5,0.517776,0.960636,1.598999,0.532211,0.632248,0.259842,0.734123,1.182770
6,0.494736,1.049637,1.482635,0.504364,0.577835,0.258972,0.670639,1.245056
7,0.367325,1.110219,1.610657,0.622894,0.630142,0.438263,1.276833,1.926514
8,0.550049,1.197673,1.446991,0.635010,0.576706,0.260582,0.785004,0.964020
9,0.068554,0.458114,1.347473,0.453033,0.379890,0.395737,0.741131,2.567749
10,0.146355,0.702850,0.741104,0.368683,0.257256,0.232227,0.686733,1.088135
11,0.067318,0.677048,0.566010,0.367722,0.234074,0.248329,0.560154,0.705414
12,0.212738,0.608862,0.425056,0.230537,0.172298,0.305214,0.460899,0.907242
13,0.298904,0.507837,0.584839,0.190338,0.134575,0.313301,0.416824,1.166428
14,0.361832,0.411560,0.250744,0.115288,0.159542,0.349678,0.434227,0.869194
15,0.364075,0.363943,0.210510,0.100029,0.110592,0.218544,0.329426,0.480480
16,0.507172,0.428978,0.144255,0.077915,0.079117,0.127266,0.178822,0.230839
17,0.343582,0.457024,0.108553,0.091671,0.088520,0.173180,0.217062,0.246971
18,0.305450,0.384172,0.176128,0.122368,0.149124,0.286953,0.364902,0.367756
19,0.304169,0.423521,0.155590,0.125618,0.153812,0.277010,0.351089,0.373768
20,0.292656,0.427462,0.116821,0.137039,0.242199,0.413620,0.487579,0.443466
21,0.424530,0.431429,0.115093,0.140907,0.174606,0.326286,0.395493,0.429924
22,0.565781,0.470173,0.145824,0.121132,0.081024,0.170057,0.194576,0.247379
23,0.653168,0.387030,0.125717,0.089321,0.061718,0.120811,0.175259,0.157814
