block,A,rusty,bicycle,in,front,of,a,barn
0,0.003617,0.018094,0.002988,0.002927,0.002888,0.002615,0.007713,0.003639
1,0.005815,0.014875,0.011953,0.004405,0.005345,0.003949,0.008324,0.009219
2,0.010985,0.027928,0.028837,0.008526,0.012135,0.007624,0.011700,0.019722
3,0.005881,0.015031,0.020695,0.004136,0.007431,0.003717,0.006972,0.016178
4,0.008928,0.016118,0.028976,0.007773,0.009465,0.004402,0.012568,0.017052
5,0.010582,0.019592,0.032476,0.010807,0.012955,0.005280,0.014875,0.023972
6,0.010144,0.021392,0.030090,0.010253,0.011857,0.005289,0.013665,0.025262
7,0.007510,0.022606,0.032893,0.012704,0.012855,0.008885,0.025858,0.039053
8,0.011227,0.024297,0.029417,0.013022,0.011874,0.005290,0.016039,0.019723
9,0.001407,0.009404,0.027573,0.009305,0.007882,0.007979,0.015095,0.052021
10,0.002977,0.014234,0.015228,0.007547,0.005338,0.004708,0.013950,0.022290
11,0.001382,0.013707,0.011536,0.007531,0.004846,0.005041,0.011393,0.014441
12,0.004374,0.012366,0.008654,0.004728,0.003577,0.006194,0.009441,0.018602
13,0.006114,0.010315,0.011874,0.003909,0.002769,0.006312,0.008490,0.023745
14,0.007374,0.008379,0.005139,0.002368,0.003248,0.007101,0.008847,0.017686
15,0.007433,0.007398,0.004322,0.002056,0.002245,0.004435,0.006727,0.009893
16,0.010353,0.008727,0.003000,0.001598,0.001622,0.002590,0.003658,0.004763
17,0.007025,0.009267,0.002249,0.001876,0.001815,0.003541,0.004453,0.005098
18,0.006250,0.007832,0.003657,0.002499,0.003053,0.005815,0.007446,0.007546
19,0.006207,0.008621,0.003222,0.002575,0.003144,0.005634,0.007173,0.007657
20,0.005946,0.008705,0.002398,0.002808,0.004924,0.008395,0.009932,0.009091
21,0.008591,0.008787,0.002392,0.002893,0.003559,0.006637,0.008096,0.008860
22,0.011472,0.009578,0.003009,0.002490,0.001644,0.003476,0.003985,0.005091
23,0.013174,0.007914,0.002593,0.001827,0.001266,0.002473,0.003594,0.003271
